key,name,payId,type,file,order,sign,desc,discount,obtain,ad,status,timer,cVersion,gIndex,custom1
String,String,String,Number,String,Number,Number,String,Number,String,Number,Boolean,Number,String,Number,String
W1,36000 Coins,com.cardgames.classic.solitaire.world_product7,1,gold_5,2,1,36000 Coins,200,1|36000,1,TRUE,-1,1.0.0,,
W1,REMOVE_ADS,com.cardgames.classic.solitaire.world_product8,1,ggbigIcon,3,0,REMOVE_ADS,0,1|0,1,TRUE,-1,1.0.0,,
W1,480 Coins,com.cardgames.classic.solitaire.world_product9,9,gold_1,9,0,480 Coins,100,1|480,0,TRUE,-1,1.0.0,,
F1,240 Coins,com.cardgames.solitaire.fun.free.klondike.spider.freecell.classic_product1,1,gold_1,4,0,240 Coins,0,1|240,0,TRUE,-1,1.0.0,,
F1,800 Coins,com.cardgames.solitaire.fun.free.klondike.spider.freecell.classic_product2,1,gold_2,5,0,800 Coins,10,1|800,1,TRUE,-1,1.0.0,,
F1,1400 Coins,com.cardgames.solitaire.fun.free.klondike.spider.freecell.classic_product3,1,gold_2,6,0,1400 Coins,16,1|1400,1,TRUE,-1,1.0.0,,
F1,3000 Coins,com.cardgames.solitaire.fun.free.klondike.spider.freecell.classic_product4,1,gold_3,7,0,3000 Coins,25,1|3000,1,TRUE,-1,1.0.0,,
F1,7200 Coins,com.cardgames.solitaire.fun.free.klondike.spider.freecell.classic_product5,1,gold_4,8,0,7200 Coins,50,1|7200,1,TRUE,-1,1.0.0,,
F1,2400 Coins,com.cardgames.solitaire.fun.free.klondike.spider.freecell.classic_product6,1,gold_3,1,1,2400 Coins,100,1|2400,1,TRUE,-1,1.0.0,,
F1,36000 Coins,com.cardgames.solitaire.fun.free.klondike.spider.freecell.classic_product7,1,gold_5,2,1,36000 Coins,200,1|36000,1,TRUE,-1,1.0.0,,
F1,REMOVE_ADS,com.cardgames.solitaire.fun.free.klondike.spider.freecell.classic_product8,1,ggbigIcon,3,0,REMOVE_ADS,0,1|0,1,TRUE,-1,1.0.0,,
F1,480 Coins,com.cardgames.solitaire.fun.free.klondike.spider.freecell.classic_product9,9,gold_1,9,0,480 Coins,100,1|480,0,TRUE,-1,1.0.0,,
F1ios,240 Coins,com.cardgames.solitaire.fun.free.klondike.spider.freecell.classic_product1,1,gold_1,4,0,240 Coins,0,1|240,0,TRUE,-1,1.0.0,,
F1ios,800 Coins,com.cardgames.solitaire.fun.free.klondike.spider.freecell.classic_product2,1,gold_2,5,0,800 Coins,10,1|800,0,TRUE,-1,1.0.0,,
F1ios,1400 Coins,com.cardgames.solitaire.fun.free.klondike.spider.freecell.classic_product3,1,gold_2,6,0,1400 Coins,16,1|1400,0,TRUE,-1,1.0.0,,
F1ios,3000 Coins,com.cardgames.solitaire.fun.free.klondike.spider.freecell.classic_product4,1,gold_3,7,0,3000 Coins,25,1|3000,0,TRUE,-1,1.0.0,,
F1ios,7200 Coins,com.cardgames.solitaire.fun.free.klondike.spider.freecell.classic_product5,1,gold_4,8,0,7200 Coins,50,1|7200,0,TRUE,-1,1.0.0,,
F1ios,2400 Coins,com.cardgames.solitaire.fun.free.klondike.spider.freecell.classic_product6,1,gold_3,1,1,2400 Coins,100,1|2400,0,TRUE,-1,1.0.0,,
F1ios,36000 Coins,com.cardgames.solitaire.fun.free.klondike.spider.freecell.classic_product7,1,gold_5,2,1,36000 Coins,200,1|36000,0,TRUE,-1,1.0.0,,
F1ios,REMOVE_ADS,com.cardgames.solitaire.fun.free.klondike.spider.freecell.classic_product8,1,ggbigIcon,3,0,REMOVE_ADS,0,1|0,1,TRUE,-1,1.0.0,,
F2,240 Coins,com.cardgames.solitaire.patience.fish.go_product1,1,gold_1,4,0,240 Coins,0,1|240,0,TRUE,-1,1.0.0,,
F2,800 Coins,com.cardgames.solitaire.patience.fish.go_product2,1,gold_2,5,0,800 Coins,10,1|800,1,TRUE,-1,1.0.0,,
F2,1400 Coins,com.cardgames.solitaire.patience.fish.go_product3,1,gold_2,6,0,1400 Coins,16,1|1400,1,TRUE,-1,1.0.0,,
F2,3000 Coins,com.cardgames.solitaire.patience.fish.go_product4,1,gold_3,7,0,3000 Coins,25,1|3000,1,TRUE,-1,1.0.0,,
F2,7200 Coins,com.cardgames.solitaire.patience.fish.go_product5,1,gold_4,8,0,7200 Coins,50,1|7200,1,TRUE,-1,1.0.0,,
F2,2400 Coins,com.cardgames.solitaire.patience.fish.go_product6,1,gold_3,1,1,2400 Coins,100,1|2400,1,TRUE,-1,1.0.0,,
F2,36000 Coins,com.cardgames.solitaire.patience.fish.go_product7,1,gold_5,2,1,36000 Coins,200,1|36000,1,TRUE,-1,1.0.0,,
F2,REMOVE_ADS,com.cardgames.solitaire.patience.fish.go_product8,1,ggbigIcon,3,0,REMOVE_ADS,0,1|0,1,TRUE,-1,1.0.0,,
F2,480 Coins,com.cardgames.solitaire.patience.fish.go_product9,9,gold_1,9,0,480 Coins,100,1|480,0,TRUE,-1,1.0.0,,
F2ios,240 Coins,com.cardgames.solitaire.patience.fish.go_product1,1,gold_1,4,0,240 Coins,0,1|240,0,TRUE,-1,1.0.0,,
F2ios,800 Coins,com.cardgames.solitaire.patience.fish.go_product2,1,gold_2,5,0,800 Coins,10,1|800,0,TRUE,-1,1.0.0,,
F2ios,1400 Coins,com.cardgames.solitaire.patience.fish.go_product3,1,gold_2,6,0,1400 Coins,16,1|1400,0,TRUE,-1,1.0.0,,
F2ios,3000 Coins,com.cardgames.solitaire.patience.fish.go_product4,1,gold_3,7,0,3000 Coins,25,1|3000,0,TRUE,-1,1.0.0,,
F2ios,7200 Coins,com.cardgames.solitaire.patience.fish.go_product5,1,gold_4,8,0,7200 Coins,50,1|7200,0,TRUE,-1,1.0.0,,
F2ios,2400 Coins,com.cardgames.solitaire.patience.fish.go_product6,1,gold_3,1,1,2400 Coins,100,1|2400,0,TRUE,-1,1.0.0,,
F2ios,36000 Coins,com.cardgames.solitaire.patience.fish.go_product7,1,gold_5,2,1,36000 Coins,200,1|36000,0,TRUE,-1,1.0.0,,
F2ios,REMOVE_ADS,com.cardgames.solitaire.patience.fish.go_product8,1,ggbigIcon,3,0,REMOVE_ADS,0,1|0,1,TRUE,-1,1.0.0,,
F3,240 Coins,com.cardgames.solitaire.fun.free.freecell.classic_product1,1,gold_1,4,0,240 Coins,0,1|240,0,TRUE,-1,1.0.0,,
F3,800 Coins,com.cardgames.solitaire.fun.free.freecell.classic_product2,1,gold_2,5,0,800 Coins,10,1|800,1,TRUE,-1,1.0.0,,
F3,1400 Coins,com.cardgames.solitaire.fun.free.freecell.classic_product3,1,gold_2,6,0,1400 Coins,16,1|1400,1,TRUE,-1,1.0.0,,
F3,3000 Coins,com.cardgames.solitaire.fun.free.freecell.classic_product4,1,gold_3,7,0,3000 Coins,25,1|3000,1,TRUE,-1,1.0.0,,
F3,7200 Coins,com.cardgames.solitaire.fun.free.freecell.classic_product5,1,gold_4,8,0,7200 Coins,50,1|7200,1,TRUE,-1,1.0.0,,
F3,2400 Coins,com.cardgames.solitaire.fun.free.freecell.classic_product6,1,gold_3,1,1,2400 Coins,100,1|2400,1,TRUE,-1,1.0.0,,
F3,36000 Coins,com.cardgames.solitaire.fun.free.freecell.classic_product7,1,gold_5,2,1,36000 Coins,200,1|36000,1,TRUE,-1,1.0.0,,
F3,REMOVE_ADS,com.cardgames.solitaire.fun.free.freecell.classic_product8,1,ggbigIcon,3,0,REMOVE_ADS,0,1|0,1,TRUE,-1,1.0.0,,
F3ios,240 Coins,com.cardgames.solitaire.fun.free.freecell.classic_product1,1,gold_1,4,0,240 Coins,0,1|240,0,TRUE,-1,1.0.0,,
F3ios,800 Coins,com.cardgames.solitaire.fun.free.freecell.classic_product2,1,gold_2,5,0,800 Coins,10,1|800,0,TRUE,-1,1.0.0,,
F3ios,1400 Coins,com.cardgames.solitaire.fun.free.freecell.classic_product3,1,gold_2,6,0,1400 Coins,16,1|1400,0,TRUE,-1,1.0.0,,
F3ios,3000 Coins,com.cardgames.solitaire.fun.free.freecell.classic_product4,1,gold_3,7,0,3000 Coins,25,1|3000,0,TRUE,-1,1.0.0,,
F3ios,7200 Coins,com.cardgames.solitaire.fun.free.freecell.classic_product5,1,gold_4,8,0,7200 Coins,50,1|7200,0,TRUE,-1,1.0.0,,
F3ios,2400 Coins,com.cardgames.solitaire.fun.free.freecell.classic_product6,1,gold_3,1,1,2400 Coins,100,1|2400,0,TRUE,-1,1.0.0,,
F3ios,36000 Coins,com.cardgames.solitaire.fun.free.freecell.classic_product7,1,gold_5,2,1,36000 Coins,200,1|36000,0,TRUE,-1,1.0.0,,
F3ios,REMOVE_ADS,com.cardgames.solitaire.fun.free.freecell.classic_product8,1,ggbigIcon,3,0,REMOVE_ADS,0,1|0,1,TRUE,-1,1.0.0,,
F4,240 Coins,com.cardgames.solitaire.fun.free.spider.classic_product1,1,gold_1,4,0,240 Coins,0,1|240,0,TRUE,-1,1.0.0,,
F4,800 Coins,com.cardgames.solitaire.fun.free.spider.classic_product2,1,gold_2,5,0,800 Coins,10,1|800,1,TRUE,-1,1.0.0,,
F4,1400 Coins,com.cardgames.solitaire.fun.free.spider.classic_product3,1,gold_2,6,0,1400 Coins,16,1|1400,1,TRUE,-1,1.0.0,,
F4,3000 Coins,com.cardgames.solitaire.fun.free.spider.classic_product4,1,gold_3,7,0,3000 Coins,25,1|3000,1,TRUE,-1,1.0.0,,
F4,7200 Coins,com.cardgames.solitaire.fun.free.spider.classic_product5,1,gold_4,8,0,7200 Coins,50,1|7200,1,TRUE,-1,1.0.0,,
F4,2400 Coins,com.cardgames.solitaire.fun.free.spider.classic_product6,1,gold_3,1,1,2400 Coins,100,1|2400,1,TRUE,-1,1.0.0,,
F4,36000 Coins,com.cardgames.solitaire.fun.free.spider.classic_product7,1,gold_5,2,1,36000 Coins,200,1|36000,1,TRUE,-1,1.0.0,,
F4,REMOVE_ADS,com.cardgames.solitaire.fun.free.spider.classic_product8,1,ggbigIcon,3,0,REMOVE_ADS,0,1|0,1,TRUE,-1,1.0.0,,
F4ios,240 Coins,com.cardgames.solitaire.fun.free.spider.classic_product1,1,gold_1,4,0,240 Coins,0,1|240,0,TRUE,-1,1.0.0,,
F4ios,800 Coins,com.cardgames.solitaire.fun.free.spider.classic_product2,1,gold_2,5,0,800 Coins,10,1|800,0,TRUE,-1,1.0.0,,
F4ios,1400 Coins,com.cardgames.solitaire.fun.free.spider.classic_product3,1,gold_2,6,0,1400 Coins,16,1|1400,0,TRUE,-1,1.0.0,,
F4ios,3000 Coins,com.cardgames.solitaire.fun.free.spider.classic_product4,1,gold_3,7,0,3000 Coins,25,1|3000,0,TRUE,-1,1.0.0,,
F4ios,7200 Coins,com.cardgames.solitaire.fun.free.spider.classic_product5,1,gold_4,8,0,7200 Coins,50,1|7200,0,TRUE,-1,1.0.0,,
F4ios,2400 Coins,com.cardgames.solitaire.fun.free.spider.classic_product6,1,gold_3,1,1,2400 Coins,100,1|2400,0,TRUE,-1,1.0.0,,
F4ios,36000 Coins,com.cardgames.solitaire.fun.free.spider.classic_product7,1,gold_5,2,1,36000 Coins,200,1|36000,0,TRUE,-1,1.0.0,,
F4ios,REMOVE_ADS,com.cardgames.solitaire.fun.free.spider.classic_product8,1,ggbigIcon,3,0,REMOVE_ADS,0,1|0,1,TRUE,-1,1.0.0,,
F5,240 Coins,com.cardgames.solitaire.fun.free.collection.classic_product1,1,gold_1,3,0,240 Coins,0,1|240,0,TRUE,-1,1.0.0,,
F5,800 Coins,com.cardgames.solitaire.fun.free.collection.classic_product2,1,gold_2,4,0,800 Coins,10,1|800,0,TRUE,-1,1.0.0,,
F5,1400 Coins,com.cardgames.solitaire.fun.free.collection.classic_product3,1,gold_2,5,0,1400 Coins,16,1|1400,0,TRUE,-1,1.0.0,,
F5,3000 Coins,com.cardgames.solitaire.fun.free.collection.classic_product4,1,gold_3,6,0,3000 Coins,25,1|3000,0,TRUE,-1,1.0.0,,
F5,7200 Coins,com.cardgames.solitaire.fun.free.collection.classic_product5,1,gold_4,7,0,7200 Coins,50,1|7200,0,TRUE,-1,1.0.0,,
F5,2400 Coins,com.cardgames.solitaire.fun.free.collection.classic_product6,1,gold_3,1,1,2400 Coins,100,1|2400,0,TRUE,-1,1.0.0,,
F5,36000 Coins,com.cardgames.solitaire.fun.free.collection.classic_product7,1,gold_5,2,1,36000 Coins,200,1|36000,0,TRUE,-1,1.0.0,,
F5,3 days trial,solitaire.collection.fun_auto_sub_monthly_3days_trial,2,subscribe,3,0,3 days trial,0,1|0,0,TRUE,-1,1.0.0,,
F5,1 month,solitaire.collection.fun_auto_sub_monthly,2,subscribe,1,0,1 month,0,1|0,0,TRUE,-1,1.0.0,,
F5,12 months,solitaire.collection.fun_auto_sub_annual,2,subscribe,2,0,12 months,30,1|0,0,TRUE,-1,1.0.0,,
F5ios,240 Coins,com.cardgames.solitaire.fun.free.collection.classic_product1,1,gold_1,4,0,240 Coins,0,1|240,0,TRUE,-1,1.0.0,,
F5ios,800 Coins,com.cardgames.solitaire.fun.free.collection.classic_product2,1,gold_2,5,0,800 Coins,10,1|800,0,TRUE,-1,1.0.0,,
F5ios,1400 Coins,com.cardgames.solitaire.fun.free.collection.classic_product3,1,gold_2,6,0,1400 Coins,16,1|1400,0,TRUE,-1,1.0.0,,
F5ios,3000 Coins,com.cardgames.solitaire.fun.free.collection.classic_product4,1,gold_3,7,0,3000 Coins,25,1|3000,0,TRUE,-1,1.0.0,,
F5ios,7200 Coins,com.cardgames.solitaire.fun.free.collection.classic_product5,1,gold_4,8,0,7200 Coins,50,1|7200,0,TRUE,-1,1.0.0,,
F5ios,2400 Coins,com.cardgames.solitaire.fun.free.collection.classic_product6,1,gold_3,1,1,2400 Coins,100,1|2400,0,TRUE,-1,1.0.0,,
F5ios,36000 Coins,com.cardgames.solitaire.fun.free.collection.classic_product7,1,gold_5,2,1,36000 Coins,200,1|36000,0,TRUE,-1,1.0.0,,
F5ios,REMOVE_ADS,com.cardgames.solitaire.fun.free.collection.classic_product8,1,ggbigIcon,3,0,REMOVE_ADS,0,1|0,1,TRUE,-1,1.0.0,,
F5ios,3 days trial,solitaire.collection.fun_auto_sub_monthly_3days_trial,2,subscribe,3,0,3 days trial,0,1|0,0,TRUE,-1,1.0.0,,
F5ios,1 month,solitaire.collection.fun_auto_sub_monthly,2,subscribe,1,0,1 month,0,1|0,0,TRUE,-1,1.0.0,,
F5ios,12 months,solitaire.collection.fun_auto_sub_annual,2,subscribe,2,0,12 months,30,1|0,0,TRUE,-1,1.0.0,,
F6,240 Coins,com.cardgames.solitaire.fun.free.pyramid.classic_product1,1,gold_1,4,0,240 Coins,0,1|240,0,TRUE,-1,1.0.0,,
F6,800 Coins,com.cardgames.solitaire.fun.free.pyramid.classic_product2,1,gold_2,5,0,800 Coins,10,1|800,1,TRUE,-1,1.0.0,,
F6,1400 Coins,com.cardgames.solitaire.fun.free.pyramid.classic_product3,1,gold_2,6,0,1400 Coins,16,1|1400,1,TRUE,-1,1.0.0,,
F6,3000 Coins,com.cardgames.solitaire.fun.free.pyramid.classic_product4,1,gold_3,7,0,3000 Coins,25,1|3000,1,TRUE,-1,1.0.0,,
F6,7200 Coins,com.cardgames.solitaire.fun.free.pyramid.classic_product5,1,gold_4,8,0,7200 Coins,50,1|7200,1,TRUE,-1,1.0.0,,
F6,2400 Coins,com.cardgames.solitaire.fun.free.pyramid.classic_product6,1,gold_3,1,1,2400 Coins,100,1|2400,1,TRUE,-1,1.0.0,,
F6,36000 Coins,com.cardgames.solitaire.fun.free.pyramid.classic_product7,1,gold_5,2,1,36000 Coins,200,1|36000,1,TRUE,-1,1.0.0,,
F6,REMOVE_ADS,com.cardgames.solitaire.fun.free.pyramid.classic_product8,1,ggbigIcon,3,0,REMOVE_ADS,0,1|0,1,TRUE,-1,1.0.0,,
F6ios,240 Coins,com.cardgames.solitaire.fun.free.pyramid.classic_product1,1,gold_1,4,0,240 Coins,0,1|240,0,TRUE,-1,1.0.0,,
F6ios,800 Coins,com.cardgames.solitaire.fun.free.pyramid.classic_product2,1,gold_2,5,0,800 Coins,10,1|800,0,TRUE,-1,1.0.0,,
F6ios,1400 Coins,com.cardgames.solitaire.fun.free.pyramid.classic_product3,1,gold_2,6,0,1400 Coins,16,1|1400,0,TRUE,-1,1.0.0,,
F6ios,3000 Coins,com.cardgames.solitaire.fun.free.pyramid.classic_product4,1,gold_3,7,0,3000 Coins,25,1|3000,0,TRUE,-1,1.0.0,,
F6ios,7200 Coins,com.cardgames.solitaire.fun.free.pyramid.classic_product5,1,gold_4,8,0,7200 Coins,50,1|7200,0,TRUE,-1,1.0.0,,
F6ios,2400 Coins,com.cardgames.solitaire.fun.free.pyramid.classic_product6,1,gold_3,1,1,2400 Coins,100,1|2400,0,TRUE,-1,1.0.0,,
F6ios,36000 Coins,com.cardgames.solitaire.fun.free.pyramid.classic_product7,1,gold_5,2,1,36000 Coins,200,1|36000,0,TRUE,-1,1.0.0,,
F6ios,REMOVE_ADS,com.cardgames.solitaire.fun.free.pyramid.classic_product8,1,ggbigIcon,3,0,REMOVE_ADS,0,1|0,1,TRUE,-1,1.0.0,,
F7,240 Coins,com.cardgames.solitaire.fun.free.tripeaks.classic_product1,1,gold_1,4,0,240 Coins,0,1|240,0,TRUE,-1,1.0.0,,
F7,800 Coins,com.cardgames.solitaire.fun.free.tripeaks.classic_product2,1,gold_2,5,0,800 Coins,10,1|800,1,TRUE,-1,1.0.0,,
F7,1400 Coins,com.cardgames.solitaire.fun.free.tripeaks.classic_product3,1,gold_2,6,0,1400 Coins,16,1|1400,1,TRUE,-1,1.0.0,,
F7,3000 Coins,com.cardgames.solitaire.fun.free.tripeaks.classic_product4,1,gold_3,7,0,3000 Coins,25,1|3000,1,TRUE,-1,1.0.0,,
F7,7200 Coins,com.cardgames.solitaire.fun.free.tripeaks.classic_product5,1,gold_4,8,0,7200 Coins,50,1|7200,1,TRUE,-1,1.0.0,,
F7,2400 Coins,com.cardgames.solitaire.fun.free.tripeaks.classic_product6,1,gold_3,1,1,2400 Coins,100,1|2400,1,TRUE,-1,1.0.0,,
F7,36000 Coins,com.cardgames.solitaire.fun.free.tripeaks.classic_product7,1,gold_5,2,1,36000 Coins,200,1|36000,1,TRUE,-1,1.0.0,,
F7,REMOVE_ADS,com.cardgames.solitaire.fun.free.tripeaks.classic_product8,1,ggbigIcon,3,0,REMOVE_ADS,0,1|0,1,TRUE,-1,1.0.0,,
F7ios,240 Coins,com.cardgames.solitaire.fun.free.tripeaks.classic_product1,1,gold_1,4,0,240 Coins,0,1|240,0,TRUE,-1,1.0.0,,
F7ios,800 Coins,com.cardgames.solitaire.fun.free.tripeaks.classic_product2,1,gold_2,5,0,800 Coins,10,1|800,0,TRUE,-1,1.0.0,,
F7ios,1400 Coins,com.cardgames.solitaire.fun.free.tripeaks.classic_product3,1,gold_2,6,0,1400 Coins,16,1|1400,0,TRUE,-1,1.0.0,,
F7ios,3000 Coins,com.cardgames.solitaire.fun.free.tripeaks.classic_product4,1,gold_3,7,0,3000 Coins,25,1|3000,0,TRUE,-1,1.0.0,,
F7ios,7200 Coins,com.cardgames.solitaire.fun.free.tripeaks.classic_product5,1,gold_4,8,0,7200 Coins,50,1|7200,0,TRUE,-1,1.0.0,,
F7ios,2400 Coins,com.cardgames.solitaire.fun.free.tripeaks.classic_product6,1,gold_3,1,1,2400 Coins,100,1|2400,0,TRUE,-1,1.0.0,,
F7ios,36000 Coins,com.cardgames.solitaire.fun.free.tripeaks.classic_product7,1,gold_5,2,1,36000 Coins,200,1|36000,0,TRUE,-1,1.0.0,,
F7ios,REMOVE_ADS,com.cardgames.solitaire.fun.free.tripeaks.classic_product8,1,ggbigIcon,3,0,REMOVE_ADS,0,1|0,1,TRUE,-1,1.0.0,,
FP,240 Coins,com.cardgames.solitaire.patience.free.klondike.spider.collection.classic_product1,1,gold_1,4,0,240 Coins,0,1|240,0,TRUE,-1,1.0.0,,
FP,800 Coins,com.cardgames.solitaire.patience.free.klondike.spider.collection.classic_product2,1,gold_2,5,0,800 Coins,10,1|800,1,TRUE,-1,1.0.0,,
FP,1400 Coins,com.cardgames.solitaire.patience.free.klondike.spider.collection.classic_product3,1,gold_2,6,0,1400 Coins,16,1|1400,1,TRUE,-1,1.0.0,,
FP,3000 Coins,com.cardgames.solitaire.patience.free.klondike.spider.collection.classic_product4,1,gold_3,7,0,3000 Coins,25,1|3000,1,TRUE,-1,1.0.0,,
FP,7200 Coins,com.cardgames.solitaire.patience.free.klondike.spider.collection.classic_product5,1,gold_4,8,0,7200 Coins,50,1|7200,1,TRUE,-1,1.0.0,,
FP,2400 Coins,com.cardgames.solitaire.patience.free.klondike.spider.collection.classic_product6,1,gold_3,1,1,2400 Coins,100,1|2400,1,TRUE,-1,1.0.0,,
FP,36000 Coins,com.cardgames.solitaire.patience.free.klondike.spider.collection.classic_product7,1,gold_5,2,1,36000 Coins,200,1|36000,1,TRUE,-1,1.0.0,,
FP,REMOVE_ADS,com.cardgames.solitaire.patience.free.klondike.spider.collection.classic_product8,1,ggbigIcon,3,0,REMOVE_ADS,0,1|0,1,TRUE,-1,1.0.0,,
